,,,,,,UNIDAD DE EMPAQUE,,PESO POR UNIDAD,,MEDIDAS LATAM,,,MEDIDAS USA,,,,,,
RefCode,Name,Category,Subcategory,Collection,Price,Unit,ItemsPerBox,Peso (kg x m2),Weight (lb x ft2),Ancho(cm),Largo (cm),Espesor(mm),Width(in),Length(ft),Thickness(in),ImageURL,Usage,PromptModifier,Description
14031001,LAMINA PVC BLANCO BRILLANTE H-01-I,CIELO RASO PVC,CIELO RASO PVC,INTERIOR,$ 31.599,Paquete / Package,"6, 10","5,3","1,09",30,595,"8,5","11,811","19,521","0,335",https://drive.google.com/file/d/1oBg_0oiJqFEReUMIG408gJ6IHfI6xltE/view?usp=drive_link,,,"Lamina Pvc Blanco Brillante H-01-I. Producto de la categoría cielo raso pvc, subcategoría techos, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 30 x 595 cm, espesor de 8.5 mm."
14031002,LAMINA PVC BLANCO MADERA BRILLANTE H-02-I,CIELO RASO PVC,CIELO RASO PVC,INTERIOR,$ 31.599,Paquete / Package,"6, 10","5,3","1,09",30,595,"8,5","11,811","19,521","0,335",https://drive.google.com/file/d/16JiUSlckT_1kVFmTkdUedOKdP8QUEotn/view?usp=drive_link,,,"Lamina Pvc Blanco Madera Brillante H-02-I. Producto de la categoría cielo raso pvc, subcategoría techos, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 30 x 595 cm, espesor de 8.5 mm."
14031005,LAMINA PVC BLANCO MATE H-05-I,CIELO RASO PVC,CIELO RASO PVC,INTERIOR,$ 31.599,Paquete / Package,6,"5,3","1,09",30,595,"8,5","11,811","19,521","0,335",https://drive.google.com/file/d/1UGCgjuUeimzLOT746C9puwiw9l4uSXF0/view?usp=drive_link,,,"Lamina Pvc Blanco Mate H-05-I. Producto de la categoría cielo raso pvc, subcategoría techos, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 30 x 595 cm, espesor de 8.5 mm."
14031012,LAMINA PVC JASPEADO BRILLANTE H-12-I,CIELO RASO PVC,CIELO RASO PVC,INTERIOR,$ 31.599,Paquete / Package,6,"5,3","1,09",30,595,"8,5","11,811","19,521","0,335",https://drive.google.com/file/d/1vQ-sDE9n0cpG9SRlRq9Eld5mQ1ToNTV7/view?usp=drive_link,,,"Lamina Pvc Jaspeado Brillante H-12-I. Producto de la categoría cielo raso pvc, subcategoría techos, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 30 x 595 cm, espesor de 8.5 mm."
14031028,LAMINA PVC CEDRO 30CM H-28-I,CIELO RASO PVC,CIELO RASO PVC,INTERIOR,$ 31.599,Paquete / Package,6,"5,3","1,09",30,595,"8,5","11,811","19,521","0,335",https://drive.google.com/file/d/1rxhyUN0GePZ7ykNO52qq6vQFbPqMt5lF/view?usp=drive_link,,,"Lamina Pvc Cedro 30Cm H-28-I. Producto de la categoría cielo raso pvc, subcategoría techos, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 30 x 595 cm, espesor de 8.5 mm."
14032001,CORNISA PVC BLANCA BRILLANTE AM1001,CIELO RASO PVC,CIELO RASO PVC,INTERIOR,$ 14.999,Paquete / Package,32,"5,3","1,09",30,595,"8,5","11,811","19,521","0,335",,,,"Cornisa Pvc Blanca Brillante Am1001. Producto de la categoría cielo raso pvc, subcategoría techos, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 30 x 595 cm, espesor de 8.5 mm."
14032002,CORNISA PVC BLANCO MADERA BRILLANTE AM1002,CIELO RASO PVC,CIELO RASO PVC,INTERIOR,$ 14.999,Paquete / Package,32,"5,3","1,09",30,595,"8,5","11,811","19,521","0,335",,,,"Cornisa Pvc Blanco Madera Brillante Am1002. Producto de la categoría cielo raso pvc, subcategoría techos, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 30 x 595 cm, espesor de 8.5 mm."
14032004,CORNISA PVC BEIGE BRILLANTE AM1004,CIELO RASO PVC,CIELO RASO PVC,INTERIOR,$ 14.999,Paquete / Package,32,"5,3","1,09",30,595,"8,5","11,811","19,521","0,335",,,,"Cornisa Pvc Beige Brillante Am1004. Producto de la categoría cielo raso pvc, subcategoría techos, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 30 x 595 cm, espesor de 8.5 mm."
14032014,CORNISA PVC BLANCO EJECUTIVO AM1014,CIELO RASO PVC,CIELO RASO PVC,INTERIOR,$ 14.999,Paquete / Package,32,"5,3","1,09",30,595,"8,5","11,811","19,521","0,335",,,,"Cornisa Pvc Blanco Ejecutivo Am1014. Producto de la categoría cielo raso pvc, subcategoría techos, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 30 x 595 cm, espesor de 8.5 mm."
14201001,CINTA ADHESIVA DE PAPEL DORADA,CINTAS,CINTA ADHESIVA DE PAPEL,INTERIOR,$ 19.990,Unidad / Unit,1,"0,2","0,04",1,5000,0,"0,394","164,042",0,https://drive.google.com/file/d/12wMP_TSwL2CUYqEl-_RcfoU6mVchIk7m/view?usp=drive_link,,,"Cinta Adhesiva Dorada. Producto de la categoría cintas, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 1 x 5000 cm, espesor de 0.0 mm."
14201002,CINTA ADHESIVA DE PAPEL PLATEADA,CINTAS,CINTA ADHESIVA DE PAPEL,INTERIOR,$ 19.990,Unidad / Unit,1,"0,2","0,04",1,5000,0,"0,394","164,042",0,https://drive.google.com/file/d/12wMP_TSwL2CUYqEl-_RcfoU6mVchIk7m/view?usp=drive_link,,,"Cinta Adhesiva Plateada. Producto de la categoría cintas, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 1 x 5000 cm, espesor de 0.0 mm."
14201201,CINTA ADHESIVA METALICA DORADA,CINTAS,CINTA ADHESIVA METALICA,INTERIOR,$ 23.399,Unidad / Unit,1,"0,2","0,04",3,500,0,"1,181","16,404",0,https://drive.google.com/file/d/1bqXOa8PvJ0Dd63Yj0dY0VgPIKYlLoxwz/view?usp=drive_link,,,"Cinta Adhesiva Metalica Dorada. Producto de la categoría cintas, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 3 x 500 cm, espesor de 0.0 mm."
