,,,,,,,,MEDIDAS LATAM,,,MEDIDAS USA,,,,,,
RefCode,Name,Category,Subcategory,Collection,Price,Unit,ItemsPerBox,Ancho(cm),Largo (cm),Espesor(mm),Width(in),Length(ft),Thickness(in),Description,ImageURL,Usage,PromptModifier
14121301,ADHESIVO DE PARED EN ROLLO GRIS (6210-1),PAREDES,ROLLO MARMOL,INTERIOR,"$ 68,690",Unit,1,60,300,0.08,23.62,9.84,0.003,"Adhesivo De Pared En Rollo Gris (6210-1). Producto de la categoría paredes, subcategoría rollo marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 60 x 300 cm, espesor de 0.08 mm.",https://drive.google.com/file/d/1aOO6ISB5y42oqkSqh8VwvJJRwnuXyIdx/view?usp=drive_link,,
14121303,ADHESIVO DE PARED EN ROLLO MARMOL (T9 056801),PAREDES,ROLLO MARMOL,INTERIOR,"$ 68,690",Unit,1,60,300,0.08,23.62,9.84,0.003,"Adhesivo De Pared En Rollo Marmol (T9 056801). Producto de la categoría paredes, subcategoría rollo marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 60 x 300 cm, espesor de 0.08 mm.",https://drive.google.com/file/d/1SApY_VAs9ktXOdpdnHzYGB6vvz1zqmzN/view?usp=drive_link,,
14121304,ADHESIVO DE PARED EN ROLLO MARMOL BLANCO (6223),PAREDES,ROLLO MARMOL,INTERIOR,"$ 68,690",Unit,1,60,300,0.08,23.62,9.84,0.003,"Adhesivo De Pared En Rollo Marmol Blanco (6223). Producto de la categoría paredes, subcategoría rollo marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 60 x 300 cm, espesor de 0.08 mm.",https://drive.google.com/file/d/1QJTLwHnfo3evdAUQk7ezNKLAWqrOwTxx/view?usp=drive_link,,
14121302,ADHESIVO DE PARED EN ROLLO NEGRO (1735),PAREDES,ROLLO MARMOL,INTERIOR,"$ 68,690",Unit,1,60,300,0.08,23.62,9.84,0.003,"Adhesivo De Pared En Rollo Negro (1735). Producto de la categoría paredes, subcategoría rollo marmol, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 60 x 300 cm, espesor de 0.08 mm.",https://drive.google.com/file/d/1YVdPLNzT8yl4MS6SL05yPyFYVVTV9IvF/view?usp=drive_link,,
14081601,CUBIERTA ACANALADA UPVC BLANCA 11.80,CUBIERTAS UPVC,TEJAS,EXTERIOR,"$ 465,000",Unit,1,83,1180,10,32.68,38.71,0.394,"Cubierta Acanalada Upvc Blanca 11.80. Producto de la categoría cubiertas upvc, subcategoría tejas, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 83 x 1180 cm, espesor de 10.0 mm.",https://drive.google.com/file/d/1oQ59_8ROlkCr8ZT6PyUOpwmzw7IJpqm0/view?usp=drive_link,,
14081201,CUBIERTA ONDULADA ROMA,CUBIERTAS UPVC,TEJAS,EXTERIOR,"$ 421,764",Unit,1,105,1180,2.5,41.34,38.71,0.098,"Cubierta Ondulada Roma. Producto de la categoría cubiertas upvc, subcategoría tejas, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 105 x 1180 cm, espesor de 2.5 mm.",https://drive.google.com/file/d/1QmTGeNZ9L6AmBG0PH8pUQlqs_zSuKLm1/view?usp=drive_link,,
14081003,CUBIERTA TERMOACUSTICA UPVC 2.0mm BLANCA O.B,CUBIERTAS UPVC,TEJAS,EXTERIOR,"$ 311,008",Unit,1,113,1180,2,44.49,38.71,0.079,"Cubierta Termoacustica Upvc 2.0Mm Blanca O.B. Producto de la categoría cubiertas upvc, subcategoría tejas, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 113 x 1180 cm, espesor de 2.0 mm.",https://drive.google.com/file/d/1Fc7qYs7jbM-Hv71GsaA312NwG-_rY8PE/view?usp=drive_link,,
14081001,CUBIERTA TERMOACUSTICA UPVC 2.5mm BLANCA O.A,CUBIERTAS UPVC,TEJAS,EXTERIOR,"$ 390,083",Unit,1,107,1180,2.5,42.13,38.71,0.098,"Cubierta Termoacustica Upvc 2.5Mm Blanca O.A. Producto de la categoría cubiertas upvc, subcategoría tejas, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 107 x 1180 cm, espesor de 2.5 mm.",https://drive.google.com/file/d/1c0fDHasuweVx0LfMtLnLhn0cQWOsIhNb/view?usp=drive_link,,
14081501,CUBIERTA TIPO ZINC UPVC AZUL,CUBIERTAS UPVC,TEJAS,EXTERIOR,"$ 41,400",Unit,1,93,305,0.8,36.61,10.01,0.031,"Cubierta Tipo Zinc Upvc Azul. Producto de la categoría cubiertas upvc, subcategoría tejas, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 93 x 305 cm, espesor de 0.8 mm.",https://drive.google.com/file/d/1vSWp2bjqzZ_LILX0shHVchRjN8UC3uPv/view?usp=drive_link,,
14081503,CUBIERTA TIPO ZINC UPVC BLANCA,CUBIERTAS UPVC,TEJAS,EXTERIOR,"$ 41,400",Unit,1,93,305,0.8,36.61,10.01,0.031,"Cubierta Tipo Zinc Upvc Blanca. Producto de la categoría cubiertas upvc, subcategoría tejas, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 93 x 305 cm, espesor de 0.8 mm.",https://drive.google.com/file/d/1413OUGxZWrajpa0VaS5ZgGINRdKR0_WM/view?usp=drive_link,,
14081502,CUBIERTA TIPO ZINC UPVC VERDE,CUBIERTAS UPVC,TEJAS,EXTERIOR,"$ 41,400",Unit,1,93,305,0.8,36.61,10.01,0.031,"Cubierta Tipo Zinc Upvc Verde. Producto de la categoría cubiertas upvc, subcategoría tejas, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 93 x 305 cm, espesor de 0.8 mm.",https://drive.google.com/file/d/1d6HGMyOUiKXjTlx_rMDqXa9Rc6UlU9TA/view?usp=drive_link,,
14123604,FACHADA ARENISCA BEIGE (B4),PAREDES,FACHADA,EXTERIOR,"$ 137,999",,,29,115,30,11.42,3.77,1.181,"Fachada Arenisca Beige (B4). Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 29 x 115 cm, espesor de 30.0 mm.",https://drive.google.com/file/d/1MpRRw6kWAKZXRGT5IMJ0fOKYFnY7GfyV/view?usp=drive_link,,
14123602,FACHADA CANTERA MIX (B2),PAREDES,FACHADA,EXTERIOR,"$ 137,999",,,29,115,30,11.42,3.77,1.181,"Fachada Cantera Mix (B2). Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 29 x 115 cm, espesor de 30.0 mm.",https://drive.google.com/file/d/1pxKUGsgAOg2oe7d_b9MPraLL2CFYDzBF/view?usp=drive_link,,
14091105,FACHADA DECK CEDRO,PAREDES,FACHADA,EXTERIOR,"$ 69,199",,,15,290,15,5.91,9.51,0.591,"Fachada Deck Cedro. Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 15 x 290 cm, espesor de 15.0 mm.",https://drive.google.com/file/d/1F5GcKZNUQrWQtFg9iqUvXQHGzhdMFGou/view?usp=drive_link,,
