No.,RELACION FICHAS TECNICAS,CATEGORY,SUBCATEGORY,URL
1,01_FT_Piso_Deck,PISOS,PISOS DECK,https://drive.google.com/file/d/1lCMi2xRoSPgICkiHKhvCX7i218yi_Y2s/view?usp=drive_link
2,02_FT_Piso_SPC,PISOS,PISOS SPC,https://drive.google.com/file/d/1qZHyzLsyqXc-6xMNlOFmiaGu0YrDSa_j/view?usp=drive_link
3,03_FT_Lamina Marmol PVC,LAMINAS,LAMINAS MARMOL PVC ,https://drive.google.com/file/d/1KRU7WCbh4gUq6VJVgCJnWwzkUc3huxO5/view?usp=drive_link
4,04_FT_Pared PU ArqUnitec,PAREDES,PAREDES PU ARQUNITEC,https://drive.google.com/file/d/1QG18_4a7hO-SocOLjpdG751Z1dfWntZm/view?usp=drive_link
5,05_FT_Paredes Muroflex,PAREDES,PAREDES MUROFLEX,https://drive.google.com/file/d/1asMmDDef6DkiilzWgpRWwKN4zMrLSiw0/view?usp=drive_link
6,06_FT_Pared Uniflex,PAREDES,PAREDES UNIFLEX,https://drive.google.com/file/d/1Lnp6C5lSwupmlbGXbFZwlQqilTPlHnLD/view?usp=drive_link
7,07.1_FT_Pared_acolchada Palma/Trigo,PAREDES,PAREDES ACOLCHADAS,https://drive.google.com/file/d/1nhFq0-RQB8tV4kd8pYM35rkLfUZMlTpn/view?usp=drive_link
8,07.2_FT_Pared  Acolchada Aurora,PAREDES,PAREDES ACOLCHADAS,https://drive.google.com/file/d/1PYkzPZTHpe6VIBADN0SKcTfZ5qe7ddAJ/view?usp=drive_link
9,08_FT_Panel_PS_Interior,PAREDES,PANEL PS,https://drive.google.com/file/d/1mHy1d-Ssz8gCg1GGub_y3D_y1ilxyXU-/view?usp=drive_link
10,09_FT_Fachada_Deck,PAREDES,FACHADA DECK,https://drive.google.com/file/d/1SikmL8eeNXX3OXwU1kmmXZvtspAZt_iO/view?usp=drive_link
11,10_FT_Polifachada,PAREDES,POLIFACHADA,https://drive.google.com/file/d/1Y1PhwNffKpSkcsmnBWfLhdFwpvZtNltr/view?usp=drive_link
12,11_FT_Lamina_Sintetica,LAMINAS,LAMINAS SINTETICAS,https://drive.google.com/file/d/15f7vWN4SBQRBwx0JPJruB2W1vs7NUhx2/view?usp=drive_link
13,12_FT_Foam_Board,LAMINAS,FOAM BOARD,https://drive.google.com/file/d/1dggg0rXoKmrH3QT-ya_upyrXqyT87h0s/view?usp=drive_link
